PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
OTHER,10695510022015110315591814210170,1,None,"Original single glazing, consider use of removable secondary double glazing to reduce winter losses and remove for summer to improve ventilation",HIGH
OTHER,10695510022015110315591814210170,2,None,Consider automatic flue isolation tio reduce standing losses from idling boilers,MEDIUM
OTHER,10695510022015110315591814210170,3,None,Upgrade controls to include optimised start,MEDIUM
OTHER,10695510022015110315591814210170,4,None,"Consider single, central cooling system with free-cooling",HIGH
OTHER,10695510022015110315591814210170,5,None,Lighting controls do not allow for separate perimeter lighting to reflect the use of daylight.,LOW
OTHER,10695510022015110315591814210170,6,None,PC screens left on in office when unused,LOW
OTHER,10695510022015110315591814210170,7,None,T8 and compact flourescent lighting may be improved by use of T5 and leds,MEDIUM
OTHER,10695510022015110315591814210170,8,None,Provide variable speed controls to pumped circuits,MEDIUM
OTHER,10695510022015110315591814210170,9,None,Many spaces overheating - review local controls,MEDIUM
SHORT,10695510022015110315591814210170,1,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
SHORT,10695510022015110315591814210170,2,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
SHORT,10695510022015110315591814210170,3,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",MEDIUM
SHORT,10695510022015110315591814210170,4,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",LOW
SHORT,10695510022015110315591814210170,5,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",HIGH
SHORT,10695510022015110315591814210170,6,CON18,Consider upgrading major time controls to include optimum start/stop.,LOW
SHORT,10695510022015110315591814210170,7,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,MEDIUM
MEDIUM,84545460062015102416355765210170,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
LONG,84545460062015102416355765210170,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
LONG,84545460062015102416355765210170,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,84545460062015102416355765210170,3,AE3,Consider installing building mounted solar water heating.,LOW
MEDIUM,84545460062015102416355765210170,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,84545460062015102416355765210170,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
MEDIUM,84545460062015102416355765210170,4,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,LOW
OTHER,84545460062015102416355765210170,1,None,"Original single glazing, consider use of removable secondary double glazing to reduce winter losses and remove for summer to improve ventilation",HIGH
OTHER,84545460062015102416355765210170,10,None,Provide variable speed controls for central ventilation system to provide flow according to current occupancy,MEDIUM
OTHER,84545460062015102416355765210170,2,None,An average of three sensors will provide less sensitive control,HIGH
OTHER,84545460062015102416355765210170,3,None,Consider external remote condesners for fridges and freezers,MEDIUM
OTHER,84545460062015102416355765210170,4,None,Provide extract hood over condensers for fridges and freezers to remove heat at source,LOW
OTHER,84545460062015102416355765210170,5,None,Consider use of two port controls along with variable speed pumps to reduce pumping energy,MEDIUM
OTHER,84545460062015102416355765210170,6,None,Radiators and convector heaters require trvs for local control,MEDIUM
OTHER,84545460062015102416355765210170,7,None,Lighting controls do not allow for separate perimeter lighting to reflect the use of daylight.,LOW
OTHER,84545460062015102416355765210170,8,None,PC screens left on in office when unused,LOW
OTHER,84545460062015102416355765210170,9,None,T8 lighting may be improved by use of T5 and leds,MEDIUM
SHORT,84545460062015102416355765210170,1,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
SHORT,84545460062015102416355765210170,2,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",LOW
SHORT,84545460062015102416355765210170,3,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,84545460062015102416355765210170,4,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",LOW
SHORT,84545460062015102416355765210170,5,CON18,Consider upgrading major time controls to include optimum start/stop.,HIGH
SHORT,84545460062015102416355765210170,6,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,LOW
LONG,7154840502014030313371873600220,1,X7,Engage experts to review overall ventilation strategy and propose an investment programme for upgrading and/or switching to alternative solutions to improve effectiveness and energy efficiency.,MEDIUM
LONG,7154840502014030313371873600220,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
MEDIUM,7154840502014030313371873600220,1,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,7154840502014030313371873600220,2,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
MEDIUM,7154840502014030313371873600220,3,AC9,Engage experts to assess condensers location and cleansing regime and propose recommendations to improve effectiveness and energy efficiency.,MEDIUM
SHORT,7154840502014030313371873600220,1,X26,Review the air conditioning energy performance report and seek to implement any outstanding recommendations for action.,MEDIUM
SHORT,7154840502014030313371873600220,2,CON17,Consider installing timer controls to energy consuming plant and equipment and adjust to suit current building occupancy.,HIGH
SHORT,7154840502014030313371873600220,3,AC23,Engage experts to review overall air conditioning strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
SHORT,7154840502014030313371873600220,4,V10,Consider with experts whether it would be worthwhile installing variable speed fans and volume control devices to the ventilation system.,HIGH
OTHER,6939940022015102415584703210165,8,None,PC screens left on in office when unused,LOW
LONG,6939940022015102415584703210165,1,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
LONG,6939940022015102415584703210165,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,6939940022015102415584703210165,3,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,6939940022015102415584703210165,4,AE3,Consider installing building mounted solar water heating.,MEDIUM
MEDIUM,6939940022015102415584703210165,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,6939940022015102415584703210165,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,6939940022015102415584703210165,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
MEDIUM,6939940022015102415584703210165,4,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,LOW
OTHER,6939940022015102415584703210165,1,None,Consider variable flow controls of heating and coolingn circuits to reflect current loads,MEDIUM
OTHER,6939940022015102415584703210165,10,None,Consider variable volume controls for ahu dependant upon occupancy to reduce flow of conditoned air,HIGH
OTHER,6939940022015102415584703210165,2,None,Consider free cooling coils on chiller,MEDIUM
OTHER,6939940022015102415584703210165,3,None,The piping in the boiler house suggests inadequate zones are provided.  Consider upgrading the controls to multi-zone control,MEDIUM
OTHER,6939940022015102415584703210165,4,None,Water passes through all boilers even when on standby adding to standing losses.  Provide auto flue dampers or isolation,LOW
OTHER,6939940022015102415584703210165,5,None,Consider use of two port controls along with variable speed pumps to reduce pumping energy,MEDIUM
OTHER,6939940022015102415584703210165,6,None,Consider variable volume controls for ashu dependant upon occupancy to reduce flow of conditoned air,MEDIUM
OTHER,6939940022015102415584703210165,7,None,Lighting controls do not allow for separate perimeter lighting to reflect the use of daylight.,LOW
OTHER,6939940022015102415584703210165,9,None,T8 lighting may be improved by use of T5 and leds,MEDIUM
SHORT,6939940022015102415584703210165,1,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
SHORT,6939940022015102415584703210165,2,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
SHORT,6939940022015102415584703210165,3,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",MEDIUM
SHORT,6939940022015102415584703210165,4,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",LOW
SHORT,6939940022015102415584703210165,5,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",HIGH
SHORT,6939940022015102415584703210165,6,CON18,Consider upgrading major time controls to include optimum start/stop.,LOW
SHORT,6939940022015102415584703210165,7,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,MEDIUM
LONG,88110895032015091114064448000096,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,88110895032015091114064448000096,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,88110895032015091114064448000096,3,AE3,Consider installing building mounted solar water heating.,MEDIUM
MEDIUM,88110895032015091114064448000096,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,88110895032015091114064448000096,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,88110895032015091114064448000096,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
OTHER,88110895032015091114064448000096,1,None,Improvement in themal insulation in plant room recommended,MEDIUM
OTHER,88110895032015091114064448000096,2,None,"Consider replacing, T12/T8 lamps with T5 and/or led",LOW
OTHER,88110895032015091114064448000096,3,None,Weather compensation valve and controls recommended,MEDIUM
OTHER,88110895032015091114064448000096,4,None,Consider secondary double glazing,HIGH
OTHER,88110895032015091114064448000096,5,None,No hws after >2minutes.  Review hws circulaition and themra insulation,MEDIUM
OTHER,88110895032015091114064448000096,6,None,Review insulation in roof,HIGH
OTHER,88110895032015091114064448000096,7,None,Two port valves and variable speed control on pumps recommended to reduce flow at partial loads,MEDIUM
OTHER,88110895032015091114064448000096,8,None,Escape doors poor fitting a drafty.  Apply draft excluder,LOW
OTHER,88110895032015091114064448000096,9,None,"Uplighting inefficient, reaplce with direct lighting",LOW
SHORT,88110895032015091114064448000096,1,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
SHORT,88110895032015091114064448000096,2,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",LOW
SHORT,88110895032015091114064448000096,3,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,88110895032015091114064448000096,4,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",LOW
SHORT,88110895032015091114064448000096,5,CON18,Consider upgrading major time controls to include optimum start/stop.,HIGH
SHORT,88110895032015091114064448000096,6,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,LOW
SHORT,88110895032015091114064448000096,7,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
LONG,9502090942019032914225560300270,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,9502090942019032914225560300270,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,9502090942019032914225560300270,3,AE3,Consider installing building mounted solar water heating.,MEDIUM
MEDIUM,9502090942019032914225560300270,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,9502090942019032914225560300270,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,9502090942019032914225560300270,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
OTHER,9502090942019032914225560300270,1,None,"Consider improving glazing performance, perhaps secondary double glazing",MEDIUM
OTHER,9502090942019032914225560300270,2,None,Consider replacing T8 lamps with T5 and/or led,MEDIUM
OTHER,9502090942019032914225560300270,3,None,Provide two port control for  heating water circuits with variable speed pumps,MEDIUM
OTHER,9502090942019032914225560300270,4,None,Uplighters in use but reflected light not efficient.  Consider replacement with direct lighting,LOW
OTHER,9502090942019032914225560300270,5,None,All lighting in operation despite good levels of daylight.  Conside daylight controls,MEDIUM
OTHER,9502090942019032914225560300270,6,None,Good heating zone control recommended,HIGH
SHORT,9502090942019032914225560300270,1,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
SHORT,9502090942019032914225560300270,10,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
SHORT,9502090942019032914225560300270,2,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",LOW
SHORT,9502090942019032914225560300270,3,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,9502090942019032914225560300270,4,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",LOW
SHORT,9502090942019032914225560300270,5,CON18,Consider upgrading major time controls to include optimum start/stop.,HIGH
SHORT,9502090942019032914225560300270,6,AC23,Engage experts to review overall air conditioning strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,LOW
SHORT,9502090942019032914225560300270,7,X16,Consider a programme of fitting energy meters to lifts and escalators as part of the service and maintenance regime.,MEDIUM
SHORT,9502090942019032914225560300270,8,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,LOW
SHORT,9502090942019032914225560300270,9,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
LONG,6081080022016062813250998260240,1,AE3,Consider installing building mounted solar water heating.,LOW
LONG,6081080022016062813250998260240,2,BF3,Consider replacing or improving glazing.,MEDIUM
LONG,6081080022016062813250998260240,3,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,MEDIUM
LONG,6081080022016062813250998260240,4,AE1,Consider installing building mounted wind turbine(s).,MEDIUM
LONG,6081080022016062813250998260240,5,BF8,Consider constructing draught lobbies to reduce unwanted air infiltration.,MEDIUM
MEDIUM,6081080022016062813250998260240,1,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,LOW
MEDIUM,6081080022016062813250998260240,2,BF9,Consider introducing orimproving cavity wall insulation.,MEDIUM
MEDIUM,6081080022016062813250998260240,3,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,6081080022016062813250998260240,4,BF4,Consider fitting secondary glazing and/or under glaze sky lights where appropriate.,LOW
MEDIUM,6081080022016062813250998260240,5,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,LOW
SHORT,6081080022016062813250998260240,1,X20,Consider a programme of fitting energy meters to kitchen facilities as part of the service and maintenance regime.,LOW
SHORT,6081080022016062813250998260240,10,CA24,Consider installing heat recovery to catering refrigeration condensers in order to aid with HWS generation or to heat room air.,LOW
SHORT,6081080022016062813250998260240,11,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
SHORT,6081080022016062813250998260240,12,BF1,Consider introducing or improving loft insulation.,LOW
SHORT,6081080022016062813250998260240,13,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
SHORT,6081080022016062813250998260240,2,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
SHORT,6081080022016062813250998260240,3,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
SHORT,6081080022016062813250998260240,4,X27,"Consider with chefs and kitchens managers implementing an energy efficiency plan including maintenance and servicing provisions and operational targets, monitoring and incentives.",LOW
SHORT,6081080022016062813250998260240,5,X26,Review the air conditioning energy performance report and seek to implement any outstanding recommendations for action.,LOW
SHORT,6081080022016062813250998260240,6,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,LOW
SHORT,6081080022016062813250998260240,7,BF7,"Consider adjusting existing, or installing new, automatic external door closers, or consider adopting revolving door solutions.",LOW
SHORT,6081080022016062813250998260240,8,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,LOW
SHORT,6081080022016062813250998260240,9,BF19,Consider fitting existing air curtains with energy saving controls such as door interlocks and occupancy time switches.,LOW
OTHER,75566950242013032715443117210270,1,None,"Because this is a well insulated building the top priority is to monitor and reduce electricity use wherever possible. Key opportunities are to ensure that the electrically-powered ground source heat system is optimally controlled (minimal operation), minimizing heating of unused classrooms and circulation spaces e.g the atria, and ensuring a timer is fitted to the ground floor Multipoint water heater.  In particular,  the power use of the heating system should be metered and monitored closely because of the high carbon intensity of electricity",HIGH
LONG,75566950242013032715443117210270,1,BF8,Consider constructing draught lobbies to reduce unwanted air infiltration.,MEDIUM
LONG,75566950242013032715443117210270,2,AE3,Consider installing building mounted solar water heating.,LOW
LONG,75566950242013032715443117210270,3,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
MEDIUM,75566950242013032715443117210270,1,BF4,Consider fitting secondary glazing and/or under glaze sky lights where appropriate.,LOW
OTHER,75566950242013032715443117210270,2,None,"A second priority is to ensure that all the local mechancial ventilation units are switched off after the afternoon closure, to minimize the use of the IT rooms' air conditioning and to check if the skylights can be automatically opened to provide natural summer cooling, including at night",HIGH
OTHER,75566950242013032715443117210270,3,None,"The third priority is to minimize draughts with the long corridor, including draught proofing of the inner lobby door and office window, and to install 'stratification' fans to recirculate rising warm air down to ground floor in the high-ceilinged large halls. Modern fans are quiet and don't have rotors so avoiding disruption of school activities",MEDIUM
OTHER,75566950242013032715443117210270,4,None,Window blinds should be kept open as much as possible to allow 'daylight' light sensors to work effectively,LOW
OTHER,75566950242013032715443117210270,5,None,Consider installing additional draught lobbies with inner doors or inexpensive plastic curtains at other entrances where practicable,MEDIUM
OTHER,75566950242013032715443117210270,6,None,"Consider installing a real-time electricity monitor in the main lobby in order to engage and enthuse all the building's users in energy-saving. The display could separately show the electricity use of the heating system and the heating being delivered by the ground source heat pumps. An example of close monitoring would be to identify and explain unusual consumption, e.g. significant electric use in school closure periods such as in August 2012",MEDIUM
OTHER,75566950242013032715443117210270,7,None,Consider installing a solar PV array on the roof,HIGH
OTHER,75566950242013032715443117210270,8,None,"Additonal funds for energy saving improvements, e.g. solar panels, can be secured by the school registering its heat pump system and claiming payments from the government's Renewable Heat Incentive (RHI) scheme provided that the heat output of the system is accurately metered. See http://www.energysavingtrust.org.uk/Generating-energy/Getting-money-back/Renewable-Heat-Incentive-RHI",MEDIUM
SHORT,75566950242013032715443117210270,1,X27,"Consider with chefs and kitchens managers implementing an energy efficiency plan including maintenance and servicing provisions and operational targets, monitoring and incentives.",LOW
SHORT,75566950242013032715443117210270,2,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",HIGH
SHORT,75566950242013032715443117210270,3,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",MEDIUM
SHORT,75566950242013032715443117210270,4,HS17,If stratification occurs consider re-circulating the air during heating.,MEDIUM
SHORT,75566950242013032715443117210270,5,X10,Engage experts to propose and set up an air conditioning servicing and maintenance regime and implement it.,LOW
LONG,25655500602012071013491658700260,1,AE3,Consider installing building mounted solar water heating.,MEDIUM
LONG,25655500602012071013491658700260,2,AE4,Consider installing building mounted photovoltaic electricity generating panels.,MEDIUM
MEDIUM,25655500602012071013491658700260,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,HIGH
SHORT,25655500602012071013491658700260,1,X12,Clean windows and roof lights to maximise daylight entering building and reduce the need for artificial lighting.,HIGH
SHORT,25655500602012071013491658700260,2,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",HIGH
LONG,35265360332010051209060242000298,1,AE5,Consider heating the building using biomass boiler(s).,HIGH
LONG,35265360332010051209060242000298,2,AE6,Consider installing a ground source heat pump.,MEDIUM
LONG,35265360332010051209060242000298,3,AE3,Consider installing building mounted solar water heating.,HIGH
LONG,35265360332010051209060242000298,4,AE2,Consider installing wind turbine(s) within the curtilage of the site.,MEDIUM
LONG,35265360332010051209060242000298,5,X1,The current metering provisions do not enable production of a specific and reasonably accurate Operational Rating for this building.  It is recommended that meters be installed and a regime of recording data be put in place.  CIBSE TM 39 gives guidance on this.,MEDIUM
MEDIUM,35265360332010051209060242000298,1,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
SHORT,35265360332010051209060242000298,1,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,MEDIUM
SHORT,35265360332010051209060242000298,2,X11,Consider implementing a programme of planned lighting systems maintenance to maintain effectiveness and energy efficiency.,LOW
SHORT,35265360332010051209060242000298,3,X12,Clean windows and roof lights to maximise daylight entering building and reduce the need for artificial lighting.,LOW
SHORT,35265360332010051209060242000298,4,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",HIGH
LONG,10515520502015110317381451000210,1,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
LONG,10515520502015110317381451000210,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,10515520502015110317381451000210,3,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,10515520502015110317381451000210,4,AE3,Consider installing building mounted solar water heating.,MEDIUM
MEDIUM,10515520502015110317381451000210,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,10515520502015110317381451000210,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,10515520502015110317381451000210,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
MEDIUM,10515520502015110317381451000210,4,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,LOW
OTHER,10515520502015110317381451000210,1,None,Replace electric storage heters with lthw emitters and controls,HIGH
OTHER,10515520502015110317381451000210,10,None,Improve fresh air flow to Workshops to reduce use of artificial cooling,MEDIUM
OTHER,10515520502015110317381451000210,2,None,An average of three sensors per floor will provide less sensitive control,HIGH
OTHER,10515520502015110317381451000210,3,None,The piping in the boiler house suggests inadequate zones are provided.  Consider upgrading the controls to multi-zone control,HIGH
OTHER,10515520502015110317381451000210,4,None,Water passes through all boilers even when on standby adding to standing losses.  Provide auto flue dampers or isolation,LOW
OTHER,10515520502015110317381451000210,5,None,Consider use of two port controls along with variable speed pumps to reduce pumping energy,MEDIUM
OTHER,10515520502015110317381451000210,6,None,Radiators require trvs for local control,MEDIUM
OTHER,10515520502015110317381451000210,7,None,Lighting controls do not allow for separate perimeter lighting to reflect the use of daylight.,LOW
OTHER,10515520502015110317381451000210,8,None,PC screens left on in office when unused,LOW
OTHER,10515520502015110317381451000210,9,None,T8/metal halide/compact fluorescent lighting may be improved by use of T5 and leds,MEDIUM
SHORT,10515520502015110317381451000210,1,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
SHORT,10515520502015110317381451000210,10,V10,Consider with experts whether it would be worthwhile installing variable speed fans and volume control devices to the ventilation system.,MEDIUM
SHORT,10515520502015110317381451000210,2,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
